,시점,KRW/USD,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,"M2(말잔, 원계열)",미국M2,USBIR,KOBIR,KOTN,USTN,달러결제수출금액,달러결제수입금액,달러결제수출비율,달러결제수입비율,한국생산자물가지수,미국생산자물가지수,한국외환보유액,미국외환보유액,한국실업률,미국실업률,KOSPI,Dow Jones
133,201602,1143.5,92.1,94.67,97,2285706.4,12517.1,0.375,1.5,1.826,1.735,30378.9,23077.9,84.6,79.1,98.49,107.41,365758,118986.57,3.9,4.9,1916.66,16516.5
134,201603,1139.3,93.8,103.73,101,2296468.4,12684.8,0.375,1.5,1.854,1.769,36273.7,26223.7,84.4,78.6,98.43,107.99,369840,118740.77,3.8,5,1995.85,17685.09
135,201604,1191.7,96.6,100.8,101,2295348,12778.6,0.375,1.5,1.81,1.833,34932.3,25064.5,85,77.4,98.67,107.99,372482,121269,3.6,5.1,1994.15,17773.64
136,201605,1151.8,94.8,96.88,103,2317399.5,12708.4,0.375,1.5,1.787,1.846,33366.9,25938.4,84,78.5,98.79,107.7,370897,119551,3.6,4.8,1983.4,17787.2
137,201606,1120.2,94.4,91.55,106,2337560.9,12789.0,0.375,1.25,1.617,1.47,38478.7,26213.1,85.1,77.3,99.02,107.8,369890,120439.49,3.5,4.9,1970.35,17929.99
138,201607,1114.8,95.7,104.94,107,2363007.4,12850.1,0.375,1.25,1.401,1.453,34226.4,26157.1,83.7,78.4,98.91,108.19,371384,120550.26,3.6,4.8,2016.19,18432.24
139,201608,1101.3,97.7,98.43,102,2380862,12946.7,0.375,1.25,1.417,1.58,34186.7,27087,85.2,77.2,99,107.99,375459,121880.11,4,4.9,2034.65,18400.88
140,201609,1144.5,97.2,90.38,103,2380204.9,13016.2,0.375,1.25,1.512,1.594,34441.9,26580.2,84.3,78.2,99.23,108.19,377770,121194.26,4,5,2043.63,18308.15
141,201610,1169.1,95.9,91.4,103,2393178,13079.4,0.375,1.25,1.596,1.826,35320.7,28071.3,84.1,80.1,99.53,108.77,375167,119118.53,3.8,4.9,2008.19,18142.42
142,201611,1207.7,95.4,91.49,109,2404426.4,13191.8,0.375,1.25,1.965,2.381,38189.3,29259.9,84.3,78.6,99.97,108.97,371985,115675.22,3.6,4.7,1983.48,19123.58
143,201612,1162.1,93.9,94.33,113,2407459.1,13299.9,0.625,1.25,2.159,2.444,37919.2,30551.9,84.1,79.8,100.85,109.26,371102,114671.33,3.4,4.7,2026.46,19762.6
144,201701,1130.7,95.8,98.53,119,2401547.9,13281.6,0.625,1.25,2.111,2.453,33699.8,30359.8,83.7,80.6,102.31,109.84,374036,115599.42,3.4,4.7,2067.57,19864.09
145,201702,1118.4,97.7,98.12,113,2427078.1,13305.6,0.625,1.25,2.163,2.39,35969,28571.2,83.3,78.9,102.71,109.84,373909,115837.93,3.9,4.6,2091.64,20812.24
146,201703,1137.9,100,100.7,113,2438307,13491.7,0.875,1.25,2.221,2.387,40524.9,32873.5,83.3,77.2,102.67,110.04,375302,116244.6,3.7,4.4,2160.23,20663.22
147,201704,1119.5,99.6,114.09,107,2446383.5,13565.0,0.875,1.25,2.182,2.28,43165.5,29824.7,84.9,78.6,102.44,110.14,376573,117402.4,3.9,4.4,2205.44,20940.51
148,201705,1144.1,100.6,115.67,107,2449939.4,13474.1,0.875,1.25,2.257,2.203,37517.4,30951.6,83.5,78.8,102.17,110.33,378456,118638.06,3.5,4.4,2347.38,21008.65
149,201706,1119,99.8,111.37,106,2463832.7,13522.1,1.125,1.25,2.165,2.304,43478.4,31553.3,84.8,77.8,101.77,110.62,380568,119301,3.7,4.3,2391.79,21349.63
150,201707,1127.8,99.1,111.31,107,2469631,13584.4,1.125,1.25,2.252,2.294,41499.1,30197.2,85,78.2,101.85,111.21,383756,120972.74,3.5,4.3,2402.71,21891.12
